Customer_ID,First_Name,Last_Name,Email,Email status,Phone,phone number,phone status,City,Loyalty_Tier,Registration_Date,Total_Purchases,Lifetime_Value,Age,Gender
CUST0001,Kavya,Chopra,amit.rao74@gmail.com,OK,919270498955,9270498955,yes,Hyderabad,Silver,2023-10-06,17,30561.4,31,Female
CUST0002,Kiran,Verma,vikram.kumar66@yahoo.com,OK,918094407076,8094407076,yes,Bangalore,Bronze,2022-07-15,68,98969.12,51,Male
CUST0138,Arjun,Patel,deepa.shah11@gmail.com,OK,916942160389,6942160389,yes,Ahmedabad,Gold,2019-11-15,69,16451.38,23,Male
CUST0004,Vikram,Rao,kavya.gupta60@yahoo.com,OK,916269986628,6269986628,yes,Ahmedabad,Silver,2021-12-29,22,62659.55,24,Female
CUST0005,Kiran,Iyer,deepa.mehta38gmail.com,INVALID,917135405173,7135405173,yes,Lucknow,Bronze,2023-01-15,4,159992.74,64,Female
CUST0006,Manoj,Srivastava,arjun.bose95@yahoo.com,OK,917586712032,7586712032,yes,Lucknow,Silver,2020-10-08,5,199593.71,41,Female
CUST0007,Rahul,Pillai,priya.sharma18@gmail.com,OK,917005102559,7005102559,yes,Mumbai,Bronze,2023-05-28,85,93005.05,52,Male
CUST0003,Sanjay,Srivastava,sunita.gupta83@yahoo.com,OK,916995358283,6995358283,yes,Pune,Gold,2021-11-24,108,68711.61,24,Male
CUST0133,Anita,Shah,manoj.yadav47@gmail.com,OK,918605008864,8605008864,yes,Jaipur,Platinum,2023-04-16,25,14639.36,20,Female
CUST0032,Manoj,Joshi,manoj.malhotra12@gmail.com,OK,917130933907,7130933907,yes,Lucknow,Gold,2021-01-07,73,136447.74,24,Female
CUST0140,Suresh,Pillai,amit.kumar3@gmail.com,OK,917764230206,7764230206,yes,Delhi,Platinum,2022-09-03,24,12609.69,21,Male
CUST0041,Sanjay,Chopra,neha.malhotra15@yahoo.com,OK,918524061336,8524061336,yes,Hyderabad,Platinum,2020-12-20,62,40145.36,28,Male
CUST0013,Priya,Reddy,deepa.rao17@gmail.com,OK,919399296772,9399296772,yes,Delhi,Silver,2022-03-08,61,155242.76,33,Male
CUST0014,Ravi,Bose,priya.joshi14@gmail.com,OK,917551562813,7551562813,yes,Chennai,Bronze,2019-04-08,60,14741.25,54,Female
CUST0015,Priya,Yadav,manoj.chopra73@gmail.com,OK,917666847218,7666847218,yes,Jaipur,Bronze,2021-03-26,112,94294.28,58,Male
CUST0016,Neha,Malhotra,deepa.shah49@gmail.com,OK,918017235435,8017235435,yes,Jaipur,Bronze,2019-07-22,70,38842.36,29,Male
